Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800YTP36JXY,Back Moor to Stalybridge,Normal,MAC4057TA,MAC4059TA,4770 m,399595395799,396216398778,NW
9800YTNUGQMM,A6042 Trinity Way/Chapel St to A665 Gt Ancoats St/Laystall St,Normal,MAC4003SD,MAC4009MR,2901 m,383009398543,385050398341,E
9800YTMIGLFN,A57 Hyde Rd/Mount Rd to A57 Hyde Rd/Longsight,Link,MAC4036MR,MAC1317,1250 m,388052396222,386813396611,W
9800YTDRNNRO,A665 Bury Old Rd/Leicester Rd to A665 Bury Old Rd/Scholes Ln/Sheepfoot Ln,Link,MAC4208SD,MAC4207BU,1481 m,383562402142,382576403146,NW
9800YTC70JDY,A58 York St/Market Place to M66 J2 off slip/Rochdale Rd,Link,MAC4281RD,MAC4280BU,3584 m,385555410798,382034410525,W
9800YT4FR6AG,A57 Mottram Rd/Halton St to A57 Woolley Ln/Market St,Link,MAC4022TA,MAC4056TA,5135 m,395572395012,400342396015,E
9800YSWUX7QC,A6 Wellington Rd South to A5102 Woodford Rd S of Meadway,Link,MAC1090ST,MAC4042ST,5168 m,389931389091,389111384360,S
9800YSPAVA8N,Lloyd St/Moss Ln E to Birchfields Rd/Dickensons Rd,Link,MAC1406MR,MAC4067MR,2042 m,384439395589,386054395253,E
9800YSOGPXPP,(blank),Link,MAC4307BL,MAC4259BL,739 m,371253409494,371295408779,S
9800YSFYQK94,A34 Kingsway/Gatley Rd to A34 Kingsway adj to Southview Gardens,Link,MAC4044ST,MAC4054ST,1146 m,385035388368,385387387277,SE
9800YSDK33DB,(blank),Link,MAC4269RD,MAC4335RD,5042 m,389892413785,393909416380,NE
9800YS0JRAST,A635 Stamford St/Wakefield Rd to A6018 Mottram Rd S of Compton St,Link,MAC4059TA,MAC4058TA,807 m,396216398778,396844398359,SE
